anchor_name,dp_review_count,dp_price_pressure,dp_queue_pressure,dp_service_pressure
中央大街,2094,0.42935560859188543,0.4026252983293556,0.00023866348448687351
圣索菲亚教堂,0,0.0,0.0,0.0
冰雪大世界,347,0.6652298850574713,0.38362068965517243,0.0014367816091954023
松花江,0,0.0,0.0,0.0
太阳岛,363,0.6524725274725275,0.364010989010989,0.0013736263736263737
中华巴洛克风情街,1058,0.1619452313503305,0.3810198300283286,0.00047214353163361664
红专街早市,344,0.0014492753623188406,0.43043478260869567,0.0014492753623188406
哈药六厂,0,0.0,0.0,0.0
防洪纪念塔,362,0.7176308539944903,0.35399449035812675,0.0013774104683195593
极地公园,0,0.0,0.0,0.0
东北虎林园,0,0.0,0.0,0.0
哈尔滨站,0,0.0,0.0,0.0
伏尔加庄园,0,0.0,0.0,0.0
中东铁路桥,0,0.0,0.0,0.0
果戈里大街,332,0.1996996996996997,0.3948948948948949,0.0015015015015015015
哈西站,0,0.0,0.0,0.0
师大夜市,0,0.0,0.0,0.0
群力,0,0.0,0.0,0.0
龙塔,0,0.0,0.0,0.0
哈尔滨工业大学,0,0.0,0.0,0.0
